Id,NOMBRE,NOM_MAP,TIPO_ASENT,MANZANA,OBSERV,ALIAS,NOM_y_MZA,Superficie,Brio_inter
293,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),213.848,
294,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),204.613,
295,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),160.861,
296,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),366.714,
297,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),251.693,
298,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),234.819,
299,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),436.081,
300,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),2283.262,
301,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),1388.439,
302,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),49523.648,
303,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),41893.678,
304,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),11251.375,
305,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),230.062,
306,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),20245.934,
307,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),29776.214,
308,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),2124.783,
309,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),33778.519,
310,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),90506.351,
311,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),6246.857,
312,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),4548.886,
313,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),21686.683,
314,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),15226.834,
315,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),31784.356,
316,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),8661.985,
317,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),9966.573,
318,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),29408.976,
319,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),30347.815,
320,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),14700.831,
321,Barrio Gral. Savio (ex Lugano I y II),Bo. Gral. Savio - Lugano I y II,Barrios municipales,,Inicialmente fue llamado Conjunto Urbano Lugano I y II y conserva ese nombre popularmente,,Barrio Gral. Savio (ex Lugano I y II),21663.493,
322,Barrio Gral. San Martín,Bo. Gral. San Martín,Barrios municipales,,,,Barrio Gral. San Martín,17224.585,
323,Barrio Gral. San Martín,Bo. Gral. San Martín,Barrios municipales,,,,Barrio Gral. San Martín,15433.514,
324,Barrio Gral. San Martín,Bo. Gral. San Martín,Barrios municipales,,,,Barrio Gral. San Martín,47948.639,
325,Barrio Gral. San Martín,Bo. Gral. San Martín,Barrios municipales,,,,Barrio Gral. San Martín,10558.817,
326,Barrio Gral. San Martín,Bo. Gral. San Martín,Barrios municipales,,,,Barrio Gral. San Martín,38302.589,
327,Barrio Espora,Bo. Espora,Barrios municipales,,Complejo de edificios en buen estado habitacional. Frente a Villa 21-24,,Barrio Espora,7003.572,
328,Barrio Espora,Bo. Espora,Barrios municipales,,Complejo de edificios en buen estado habitacional. Frente a Villa 21-24,,Barrio Espora,7912.657,
329,Barrio Espora,Bo. Espora,Barrios municipales,,Complejo de edificios en buen estado habitacional. Frente a Villa 21-24,,Barrio Espora,14934.793,
330,Barrio Espora,Bo. Espora,Barrios municipales,,Complejo de edificios en buen estado habitacional. Frente a Villa 21-24,,Barrio Espora,6969.755,
331,Barrio Espora,Bo. Espora,Barrios municipales,,Complejo de edificios en buen estado habitacional. Frente a Villa 21-24,,Barrio Espora,16864.677,
332,Barrio Espora,Bo. Espora,Barrios municipales,,Complejo de edificios en buen estado habitacional. Frente a Villa 21-24,,Barrio Espora,10525.549,
333,Barrio Espora,Bo. Espora,Barrios municipales,,Complejo de edificios en buen estado habitacional. Frente a Villa 21-24,,Barrio Espora,11377.360,
334,Barrio Los Perales (ex Dorrego),Bo. Los Perales (ex Dorrego),Barrios municipales,,Asignación de nombre según Ley 4874 publicada en Bol Ofic 4325 del 24/1/2014,,Barrio Los Perales (ex Dorrego),31675.733,
335,Barrio Los Perales (ex Dorrego),Bo. Los Perales (ex Dorrego),Barrios municipales,,Asignación de nombre según Ley 4874 publicada en Bol Ofic 4325 del 24/1/2014,,Barrio Los Perales (ex Dorrego),45184.347,
336,Barrio Los Perales (ex Dorrego),Bo. Los Perales (ex Dorrego),Barrios municipales,,Asignación de nombre según Ley 4874 publicada en Bol Ofic 4325 del 24/1/2014,,Barrio Los Perales (ex Dorrego),37918.925,
337,Barrio Los Perales (ex Dorrego),Bo. Los Perales (ex Dorrego),Barrios municipales,,Asignación de nombre según Ley 4874 publicada en Bol Ofic 4325 del 24/1/2014,,Barrio Los Perales (ex Dorrego),35516.726,
338,Complejo de Edificios Donizetti y Rivadavia,Cmjo. Donizetti y Rivadavia,Barrios municipales,,Complejo de Edificios en una sola manzana ya incoporado al entramado urbano,,Complejo de Edificios Donizetti y Rivadavia,14939.752,
339,Barrio Copello,Bo. Copello,Barrios municipales,,,,Barrio Copello,16152.146,
340,Barrio Copello,Bo. Copello,Barrios municipales,,,,Barrio Copello,14381.466,
341,Barrio Copello,Bo. Copello,Barrios municipales,,,,Barrio Copello,22459.493,
342,Complejo de Edificios Const. Almagro (Liberti 400 imp),Cmjo. Const. Almagro - Liberti 400 imp,Barrios municipales,,Complejo de Edificio y Viviendas en Construcción. No abarca toda la manzana (Nov. 2018),,Complejo de Edificios Const. Almagro (Liberti 400 imp),32744.877,
343,Complejo de Edificios Const. Almagro (Liberti 400 imp),Cmjo. Const. Almagro - Liberti 400 imp,Barrios municipales,,,,Complejo de Edificios Const. Almagro (Liberti 400 imp),20463.439,
344,Complejo de Edificios Constitución,Cmjo. Constitución,Barrios municipales,,Complejo de Edificios en una sola manzana ya incoporado al entramado urbano,,Complejo de Edificios Constitución,4981.306,
345,Complejo de Edificios Constitución,Cmjo. Constitución,Barrios municipales,,Complejo de Edificios en una sola manzana ya incoporado al entramado urbano,,Complejo de Edificios Constitución,3764.891,
346,Complejo Versalles (Bruselas y Tinogasta),Cmjo. Versalles (Bruselas y Tinogasta),Barrios municipales,,Complejos de Edificaciones y casas ya incorporadas al entramado urbano,,Complejo Versalles (Bruselas y Tinogasta),10006.064,
347,Barrio Colonia Solá,Bo. Colonia Solá,Barrios municipales,,Barrio de casas y complejos de viviendas con relativa deficiencia habitacional,,Barrio Colonia Solá,7089.239,
348,Barrio Colegiales,Bo. Colegiales,Barrios municipales,,Manzana catastral con complejo de edificios,,Barrio Colegiales,5766.657,
349,Barrio Colegiales,Bo. Colegiales,Barrios municipales,,Manzana catastral con complejo de edificios,,Barrio Colegiales,10450.739,
350,CMV Irala I,CMV Irala I,Barrios municipales,,Complejo de Edificios,,CMV Irala I,10491.277,
351,CMV ex-Villa 20,CMV ex-Villa 20,Barrios municipales,,Complejo de Edificios y Casas humildes y precarias linderas a la Villa 20 - Se puso como no Publicable ya que en Dic 2018 se agregaron esas manzanas a Villas Urbanizadas según info DGESyC 2017,,CMV ex-Villa 20,2065.722,
352,CMV ex-Villa 20,CMV ex-Villa 20,Barrios municipales,,Complejo de Edificios y Casas humildes y precarias linderas a la Villa 20 - Se puso como no Publicable ya que en Dic 2018 se agregaron esas manzanas a Villas Urbanizadas según info DGESyC 2017,,CMV ex-Villa 20,2049.083,
353,CMV ex-Villa 20,CMV ex-Villa 20,Barrios municipales,,Complejo de Edificios y Casas humildes y precarias linderas a la Villa 20 - Se puso como no Publicable ya que en Dic 2018 se agregaron esas manzanas a Villas Urbanizadas según info DGESyC 2017,,CMV ex-Villa 20,4383.801,
354,CMV ex-Villa 20,CMV ex-Villa 20,Barrios municipales,,Complejo de Edificios y Casas humildes y precarias linderas a la Villa 20 - Se puso como no Publicable ya que en Dic 2018 se agregaron esas manzanas a Villas Urbanizadas según info DGESyC 2017,,CMV ex-Villa 20,4402.702,
355,CMV ex-Villa 20,CMV ex-Villa 20,Barrios municipales,,Complejo de Edificios y Casas humildes y precarias linderas a la Villa 20 - Se puso como no Publicable ya que en Dic 2018 se agregaron esas manzanas a Villas Urbanizadas según info DGESyC 2017,,CMV ex-Villa 20,10355.433,
356,CMV ex-Villa 20,CMV ex-Villa 20,Barrios municipales,,Complejo de Edificios y Casas humildes y precarias linderas a la Villa 20 - Se puso como no Publicable ya que en Dic 2018 se agregaron esas manzanas a Villas Urbanizadas según info DGESyC 2017,,CMV ex-Villa 20,4124.081,
357,CMV Artilleros y Pampa,CMV Artilleros y Pampa,Barrios municipales,,Complejos de Edificios ya incorporados en la trama urbana - HABRÍA QUE DEFINIR SI SE SIGUEN MOSTRANDO!!,,CMV Artilleros y Pampa,12700.264,
358,Barrio Charrúa (ex Villa 12),Bo. Charrúa (ex Villa 12),Barrios municipales,,Barrio de Viviendas precarias y humildes,,Barrio Charrúa (ex Villa 12),10744.114,
359,Barrio Charrúa (ex Villa 12),Bo. Charrúa (ex Villa 12),Barrios municipales,,Barrio de Viviendas precarias y humildes,,Barrio Charrúa (ex Villa 12),9987.017,
360,Barrio Charrúa (ex Villa 12),Bo. Charrúa (ex Villa 12),Barrios municipales,,Barrio de Viviendas precarias y humildes,,Barrio Charrúa (ex Villa 12),4291.413,
361,Barrio Charrúa (ex Villa 12),Bo. Charrúa (ex Villa 12),Barrios municipales,,Barrio de Viviendas precarias y humildes,,Barrio Charrúa (ex Villa 12),10102.156,
362,Barrio Charrúa (ex Villa 12),Bo. Charrúa (ex Villa 12),Barrios municipales,,Barrio de Viviendas precarias y humildes,,Barrio Charrúa (ex Villa 12),10331.358,
363,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,6957.526,
364,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,944.383,
365,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,7610.260,
366,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,6827.500,
367,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,568.657,
368,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,7788.950,
369,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,2339.830,
370,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,3665.218,
371,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,4623.471,
372,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,603.529,
373,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,770.159,
374,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,816.430,
375,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,560.118,
376,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,1313.930,
377,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,7677.190,
378,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,8266.045,
379,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,8737.373,
380,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,7267.941,
381,Barrio Catalinas Sur,Bo. Catalinas Sur,Barrios municipales,,,,Barrio Catalinas Sur,10960.396,
382,Barrio Castex,Bo. Castex,Barrios municipales,,,,Barrio Castex,24191.266,
383,Barrio Castex,Bo. Castex,Barrios municipales,,,,Barrio Castex,19640.872,
384,Barrio Castex,Bo. Castex,Barrios municipales,,,,Barrio Castex,17211.284,
385,Casas de Boyacá,Casas de Boyacá,Barrios municipales,,Manzana de complejo de casas y edificios ya incorporados en el entramado urbano,,Casas de Boyacá,13292.807,
386,Barrio Ramón Carrillo,Bo. Ramón Carrillo,Barrios municipales,,"Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Ramón Carrillo 1, pero cuando se puso Bo. Lacarra al contiguo, se quitó el número y se dejó sólo Ramón Carrillo",Barrio Ramón Carrillo 1,Barrio Ramón Carrillo,1757.766,
387,Barrio Ramón Carrillo,Bo. Ramón Carrillo,Barrios municipales,,"Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Ramón Carrillo 1, pero cuando se puso Bo. Lacarra al contiguo, se quitó el número y se dejó sólo Ramón Carrillo",Barrio Ramón Carrillo 1,Barrio Ramón Carrillo,2535.842,
388,Barrio Ramón Carrillo,Bo. Ramón Carrillo,Barrios municipales,,"Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Ramón Carrillo 1, pero cuando se puso Bo. Lacarra al contiguo, se quitó el número y se dejó sólo Ramón Carrillo",Barrio Ramón Carrillo 1,Barrio Ramón Carrillo,1392.694,
389,Barrio Ramón Carrillo,Bo. Ramón Carrillo,Barrios municipales,,"Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Ramón Carrillo 1, pero cuando se puso Bo. Lacarra al contiguo, se quitó el número y se dejó sólo Ramón Carrillo",Barrio Ramón Carrillo 1,Barrio Ramón Carrillo,1395.618,
390,Barrio Ramón Carrillo,Bo. Ramón Carrillo,Barrios municipales,,"Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Ramón Carrillo 1, pero cuando se puso Bo. Lacarra al contiguo, se quitó el número y se dejó sólo Ramón Carrillo",Barrio Ramón Carrillo 1,Barrio Ramón Carrillo,1160.392,
391,Barrio Ramón Carrillo,Bo. Ramón Carrillo,Barrios municipales,,"Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Ramón Carrillo 1, pero cuando se puso Bo. Lacarra al contiguo, se quitó el número y se dejó sólo Ramón Carrillo",Barrio Ramón Carrillo 1,Barrio Ramón Carrillo,1622.130,
392,Barrio Ramón Carrillo,Bo. Ramón Carrillo,Barrios municipales,,"Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Ramón Carrillo 1, pero cuando se puso Bo. Lacarra al contiguo, se quitó el número y se dejó sólo Ramón Carrillo",Barrio Ramón Carrillo 1,Barrio Ramón Carrillo,1215.527,
393,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1442.795,
394,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1660.588,
395,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1649.953,
396,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1710.034,
397,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1713.764,
398,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1835.593,
399,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1784.479,
400,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1814.621,
401,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1701.364,
402,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1832.967,
403,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1838.058,
404,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1832.966,
405,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,2866.236,
406,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,3047.637,
407,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,2634.380,
408,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,2705.802,
409,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,2941.488,
410,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,2909.582,
411,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,2926.316,
412,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,2735.641,
413,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,3037.052,
414,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1954.792,
415,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,1948.895,
416,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,2093.956,
417,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,4355.604,
418,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,3400.259,
419,Barrio Lacarra,Bo. Lacarra,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 3 Barrio Fátima. Antes denominado Barrio Ramón Carrillo 2,Barrio Ramón Carrillo - Ramòn Carrillo 2,Barrio Lacarra,3898.193,
420,Barrio Cardenal Samoré,Bo. Cardenal Samoré,Barrios municipales,,,,Barrio Cardenal Samoré,977.273,
421,Barrio Cardenal Samoré,Bo. Cardenal Samoré,Barrios municipales,,,,Barrio Cardenal Samoré,1941.957,
422,Barrio Cardenal Samoré,Bo. Cardenal Samoré,Barrios municipales,,,,Barrio Cardenal Samoré,1952.312,
423,Barrio Cardenal Samoré,Bo. Cardenal Samoré,Barrios municipales,,,,Barrio Cardenal Samoré,1954.347,
424,Barrio Cardenal Samoré,Bo. Cardenal Samoré,Barrios municipales,,,,Barrio Cardenal Samoré,1952.270,
425,Barrio Cardenal Samoré,Bo. Cardenal Samoré,Barrios municipales,,,,Barrio Cardenal Samoré,5972.217,
426,Barrio Cardenal Samoré,Bo. Cardenal Samoré,Barrios municipales,,,,Barrio Cardenal Samoré,1984.585,
427,Barrio Cardenal Samoré,Bo. Cardenal Samoré,Barrios municipales,,,,Barrio Cardenal Samoré,1984.602,
428,Barrio Cardenal Samoré,Bo. Cardenal Samoré,Barrios municipales,,,,Barrio Cardenal Samoré,1952.651,
